Número	NCidade	Local	Idade	Cidade	Tempo	Bairro	Cor	Religião	Religião_qual	Estudando	Estudo	Casa	Qualeotipodehabitacao	Habit_outro	Habit_alug	Comodos	Trabalho	Recursos	Renda_familiar	Renda_div_pessoa	Renda_da_familia	Classe	Civil
46	1	3	19	1	1	1	2	2		2	6	3	1		1	3	3		200	3	67	Baixa	União estável
47	1	4	20	1	1	1	3	1	1	2	3	3	1		3	3	3		500	4	125	Baixa	União estável
48	1	3	20	1	1	1	2	2		2	3	5	1		1	3	1	500	700	5	140	Média	Solteiro
49	1	1	18	1	1	1	3	1	2	1	5	6	1		3	4	1	140	560	6	93	Baixa	Solteiro
50	1	2	20	2	3	1	3	1	6	1	3	3	1		3	4	1	360	900	3	300	99	Casado
51	1	3	20	1	1	1	3	1	2	2	5	3	1		2	4	3		500	3	167	Baixa	Solteiro
52	1	3	21	1	1	1	3	2		2	3	3	1		3	3	2	370	370	3	123	Baixa	Solteiro
53	1	1	18	1	1	2	1	2		1	5	5	1		1	4	3		930	5	186	99	União estável
54	1	3	18	1	1	1	3	2		2	3	2	1		4	3	3					99	Solteiro
55	1	3	20	1	1	1	1	1	1	2	3	10	1		1	4	3		1395	10	140	Baixa	Solteiro
56	1	2	18	1	1	1	6	2		2	3	3	1		3	4	2	20	500	3	167	Média	Solteiro
57	1	3	19	1	1	1	3	1	1	2	3	3	1		3	3	3		400	3	133	Média	Solteiro
58	1	2	15	1	1	1	3	1	2	2	3	4	1		4	3	3		530	4	133	99	União estável
59	1	2	16	1	1	1	3	2		2	5	3	1		1	3	3		300	3	100	Baixa	União estável
60	1	4	22	1	1	1	3	1	2	2	5	4	1		1	3	2	110	110	4	28	Média	Solteiro
61	1	1	21	1	1	1	6	2		1	5	4	1		1	4	2	150	150	2	75	Baixa	Solteiro
62	1	1	22	1	1	1	3	1	1	2	6	4	1		1	4	2	90	900	4	225	Baixa	Solteiro
63	1	2	20	2	1	1	99	2		1	7	4	1		1	4	1	150	1000	99	10	Baixa	Solteiro
64	1	3	19	1	1	1	3	1	2	2	6	6	1		1	4	3		1	99	0	Baixa	Solteiro
65	1	2	19	1	1	1	1	2		2	5	3	1		1	4	2	90	1	98	0	Baixa	Solteiro
66	1	1	20	1	1	1	3	2		2	5	3	1		1	5	3		500	3	167	99	Solteiro
67	1	2	17	2	2	1	6	2		2	3	9	1		1	4	3		400	9	44	99	Solteiro
68	1	2	19	1	1	1	3	2		2	3	5	1		1	4	3		1500	5	300	Média	Solteiro
69	1	2	19	1	1	1	2	2		2	3	6	1		3	4	3		300	6	50	99	Solteiro
70	1	2	19	1	1	1	3	2		2	5	7	1		2	3	3		465	7	66	Média	Solteiro
71	1	3	19	1	1	1	2	2		1	3	5	1		2	4	2	200	700	6	117	Baixa	Solteiro
72	1	2	19	1	1	1	2	2		2	3	4	1		3	4	1	400	700	4	175	Baixa	Solteiro
73	1	3	19	1	1	1	1	2		2	3	3	1		1	4	3		765	8	96	Média	Solteiro
74	1	4	16	2	4	1	3	2		2	3	3	3		3	1	3		300	5	60	Baixa	Solteiro
75	1	2	15	1	1	1	3	1	2	1	5	3	1		1	3	3		80	3	27	Baixa	Solteiro
